venue.location.formattedAddress,venue.location.lat,venue.location.lng,venue.location.postalCode,venue.location.state,venue.name
"['169 Chapel St. (btwn High & St. John)', 'Melbourne VIC 3181', 'Australia']",-37.852185020263825,144.99330640835277,3181,VIC,Journeyman
"['348 Drummond Street', 'Melbourne VIC 3053', 'Australia']",-37.797687720891474,144.9689620150097,3053,VIC,Vincent The Dog
"['33 Chapel St (btwn Maddock & Peel St)', 'Melbourne VIC 3181', 'Australia']",-37.85606392288103,144.99245032668114,3181,VIC,School of 7 Bells
"['The Wheeler Centre (176 Little Lonsdale St)', 'Melbourne VIC 3000', 'Australia']",-37.81029048244798,144.96512775509999,3000,VIC,The Moat Bar & Cafe
"['97 Errol St', 'Melbourne VIC 3051', 'Australia']",-37.80260626160473,144.94957471419664,3051,VIC,Fandango
"['30 Sackville Street', 'Melbourne VIC 3066', 'Australia']",-37.79826682189606,144.98564695428811,3066,VIC,Acoffee
"['486 Queens Pde (Hoddle St)', 'Clifton Hill VIC 3068', 'Australia']",-37.785467,144.994475,3068,VIC,Mixed Business
"['Stall S13, 322 Coventry St (at South Melbourne Market)', 'South Melbourne VIC 3205', 'Australia']",-37.83278526870756,144.9561367991214,3205,VIC,Proper & Son
"['Shop B17, 385 Bourke St (Elizabeth St)', 'Melbourne VIC 3000', 'Australia']",-37.81449820627968,144.96268119850978,3000,VIC,Oli & Levi
"['309 Exhibition St (Near La Trobe St)', 'Melbourne VIC 3000', 'Australia']",-37.80873208916029,144.9690277338315,3000,VIC,65 Degrees Cafe
"['Bourke Street', 'Docklands VIC 3008', 'Australia']",-37.819921547087255,144.94543651886323,3008,VIC,Cafe Bambino
"['472 Bridge Rd', 'Richmond VIC 3121', 'Australia']",-37.81946632554757,145.0074061694816,3121,VIC,Reunion & Co
"['Stall 89, 116-136 Cecil St (at South Melbourne Market)', 'Melbourne VIC 3205', 'Australia']",-37.83229362816733,144.95715379714966,3205,VIC,Clement Coffee Roasters
"['28 Grosvesnor St', 'Abbotsford VIC 3067', 'Australia']",-37.80906183333469,145.00668864075917,3067,VIC,The Abbotsford Club
"['8 Raffa Place Carlton (Cochrane Pl)', 'Melbourne VIC 3053', 'Australia']",-37.79764825840715,144.96836521568414,3053,VIC,The Vertue of the Coffee Drink
