Locality,count,mean,std,min,25%,50%,75%,max
Kalorama,15.0,680433.3333333334,124091.68077713846,533000.0,593000.0,626000.0,756000.0,917000.0
Kealba,14.0,611607.1428571428,65394.41830198465,488500.0,588500.0,617000.0,642625.0,750000.0
Keilor,20.0,940800.0,323498.61302883347,630000.0,701875.0,780000.0,1216250.0,1600000.0
Keilor Downs,38.0,647107.9210526316,85422.06585881773,452000.0,607500.0,645250.0,712500.0,782500.0
Keilor East,45.0,937233.3333333334,344932.5033199842,600000.0,756000.0,850000.0,965000.0,2500000.0
Keilor Lodge,4.0,741250.0,45893.89937671455,695000.0,706250.0,740000.0,775000.0,790000.0
Keilor Park,13.0,768615.3846153846,138989.53105752153,600000.0,675000.0,765000.0,799000.0,1150000.0
Kensington,11.0,1028454.5454545454,295769.965897947,481000.0,966500.0,1100000.0,1135000.0,1465000.0
Kew,40.0,2030159.7,687500.3794568725,912500.0,1523875.0,1837944.0,2273750.0,3763500.0
Kew East,19.0,1895578.9473684211,454672.2037528763,1205000.0,1660000.0,1840000.0,2061000.0,3028000.0
Keysborough,126.0,813121.7222222222,191528.9732036441,520000.0,697125.0,759500.0,885600.0,1900000.0
Kilsyth,99.0,682837.7373737374,183467.9790628875,300000.0,591250.0,675000.0,735944.0,1580000.0
Kilsyth South,8.0,889237.5,179336.69800127356,700000.0,817225.0,846000.0,898250.0,1300000.0
Kinglake,16.0,481625.0,148683.83682611008,210000.0,377500.0,434000.0,584375.0,760000.0
Kinglake West,10.0,621150.0,88617.16976849225,460000.0,588000.0,626500.0,680500.0,760000.0
Kings Park,41.0,536158.5365853659,51967.7110117896,422500.0,497000.0,540000.0,565000.0,667000.0
Kingsbury,18.0,788561.1666666666,300953.8332444031,259100.0,652500.0,767000.0,885250.0,1600000.0
Kingsville,3.0,1028666.6666666666,339978.4306883796,806000.0,833000.0,860000.0,1140000.0,1420000.0
Knoxfield,59.0,831164.2033898305,183165.6763576193,525000.0,709500.0,798000.0,944444.0,1505500.0
Koo Wee Rup,36.0,468852.75,168571.58877960002,280000.0,371250.0,442500.0,481250.0,1200000.0
Kurunjang,132.0,434361.0227272727,171437.8519020398,268250.0,339750.0,378500.0,450000.0,1210000.0
Lalor,94.0,675912.7659574468,164495.77975044854,350000.0,593000.0,660000.0,740250.0,1385000.0
Lang Lang,17.0,438294.1176470588,160095.58266309317,285000.0,345000.0,377000.0,460000.0,795000.0
Langwarrin,216.0,613280.6666666666,163188.14405316426,310000.0,520000.0,585500.0,665250.0,1460000.0
Langwarrin South,1.0,980000.0,,980000.0,980000.0,980000.0,980000.0,980000.0
Launching Place,32.0,580994.53125,132677.0581656183,415000.0,487500.0,542500.0,632500.0,900000.0
Laverton,19.0,529763.1578947369,88750.3315206723,255000.0,498000.0,520000.0,586000.0,680000.0
Lilydale,125.0,839165.792,809872.909709955,392850.0,650000.0,735000.0,850000.0,9500000.0
